club,matched_team,score,badge_url,saved_file
Acassuso,Acassuso,1.000,https://r2.thesportsdb.com/images/media/team/badge/81kew41677993637.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\acassuso.png
Agropecuario,Agropecuario,1.000,https://r2.thesportsdb.com/images/media/team/badge/jt027i1766678890.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\agropecuario.png
Aldosivi,Aldosivi,1.000,https://r2.thesportsdb.com/images/media/team/badge/nqrjqb1517767667.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\aldosivi.png
All Boys,All Boys,1.000,https://r2.thesportsdb.com/images/media/team/badge/zo4vm01578824142.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\all-boys.png
Almagro,Almagro,1.000,https://r2.thesportsdb.com/images/media/team/badge/zv7sju1578825975.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\almagro.png
Almirante Brown,Almirante Brown,1.000,https://r2.thesportsdb.com/images/media/team/badge/81i8mf1615822788.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\almirante-brown.png
Argentinos Juniors,Argentinos Juniors,1.000,https://r2.thesportsdb.com/images/media/team/badge/uqfjuo1769234850.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\argentinos-juniors.png
Atlanta,Atlanta,1.000,https://r2.thesportsdb.com/images/media/team/badge/ey0i4o1775792685.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\atlanta.png
Atlético Tucumán,Atlético Tucumán,1.000,https://r2.thesportsdb.com/images/media/team/badge/m5i2q21775755577.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\atletico-tucuman.png
Atlético de Rafaela,Atlético de Rafaela,1.000,https://r2.thesportsdb.com/images/media/team/badge/v9b3yf1677638367.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\atletico-de-rafaela.png
