club,matched_team,score,badge_url,saved_file
Cercle Brugge,Cercle Brugge,1.000,https://r2.thesportsdb.com/images/media/team/badge/0v6uv41656017321.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\cercle-brugge.png
Club Brugge,Club Brugge,1.000,https://r2.thesportsdb.com/images/media/team/badge/mz8y0q1771129880.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\club-brugge.png
Club NXT,Club NXT,1.000,https://r2.thesportsdb.com/images/media/team/badge/3284wh1687872002.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\club-nxt.png
Jong Genk,Jong Genk,1.000,https://r2.thesportsdb.com/images/media/team/badge/lan0qu1655569364.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\jong-genk.png
K. Beerschot VA,K Beerschot VAC,0.966,https://r2.thesportsdb.com/images/media/team/badge/9it4x71716494287.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\k-beerschot-va.png
KV Kortrijk,Kortrijk,0.842,https://r2.thesportsdb.com/images/media/team/badge/ssvvtu1447618084.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\kv-kortrijk.png
KV Mechelen,Mechelen,0.842,https://r2.thesportsdb.com/images/media/team/badge/sxsxpt1447618693.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\kv-mechelen.png
RAAL La Louvière,RAAL La Louvière,1.000,https://r2.thesportsdb.com/images/media/team/badge/xs8c7n1718272881.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\raal-la-louviere.png
RFC Liège,RFC Liège,1.000,https://r2.thesportsdb.com/images/media/team/badge/o4tofi1687871593.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\rfc-liege.png
RSC Anderlecht,Anderlecht,0.833,https://r2.thesportsdb.com/images/media/team/badge/auindn1771129464.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\rsc-anderlecht.png
RSCA Futures,RSCA Futures,1.000,https://r2.thesportsdb.com/images/media/team/badge/hque4l1782021344.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\rsca-futures.png
Royal Francs Borains,Francs Borains,0.824,https://r2.thesportsdb.com/images/media/team/badge/22btbw1687871590.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\royal-francs-borains.png
SK Beveren,Beveren,0.824,https://r2.thesportsdb.com/images/media/team/badge/w40kf11657733729.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\sk-beveren.png
SV Zulte Waregem,Zulte Waregem,0.897,https://r2.thesportsdb.com/images/media/team/badge/6mdsut1695740517.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\sv-zulte-waregem.png
Sporting Hasselt,Sporting Hasselt,1.000,https://r2.thesportsdb.com/images/media/team/badge/i6vq9h1770997414.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\BEL\sporting-hasselt.png
