club,matched_team,score,badge_url,saved_file
AJ Auxerre,Auxerre,0.824,https://r2.thesportsdb.com/images/media/team/badge/lzdtbf1658753355.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\aj-auxerre.png
AS Nancy Lorraine,Nancy Lorraine,0.903,https://r2.thesportsdb.com/images/media/team/badge/ve39pj1547899643.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\as-nancy-lorraine.png
Clermont Foot 63,Clermont Foot,0.897,https://r2.thesportsdb.com/images/media/team/badge/wrytst1426871249.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\clermont-foot-63.png
EA Guingamp,Guingamp,0.842,https://r2.thesportsdb.com/images/media/team/badge/5iihrp1590259631.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\ea-guingamp.png
FC Annecy,Annecy,1.000,https://r2.thesportsdb.com/images/media/team/badge/h6981f1655120883.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\fc-annecy.png
FC Lorient,Lorient,1.000,https://r2.thesportsdb.com/images/media/team/badge/sxsttw1473504748.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\fc-lorient.png
FC Metz,Metz,1.000,https://r2.thesportsdb.com/images/media/team/badge/1iuew61688452857.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\fc-metz.png
FC Nantes,Nantes,1.000,https://r2.thesportsdb.com/images/media/team/badge/mla9x61678808018.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\fc-nantes.png
Le Havre AC,Le Havre,1.000,https://r2.thesportsdb.com/images/media/team/badge/aikowk1546475003.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\le-havre-ac.png
Le Mans FC,Le Mans,1.000,https://r2.thesportsdb.com/images/media/team/badge/wjhziv1700145026.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\le-mans-fc.png
Olympique de Marseille,Olympique de Marseille Youth,0.880,https://r2.thesportsdb.com/images/media/team/badge/c9p11e1779212305.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\olympique-de-marseille.png
Paris FC,Paris FC,1.000,https://r2.thesportsdb.com/images/media/team/badge/yuvtsy1447594254.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\paris-fc.png
Pau FC,Pau,1.000,https://r2.thesportsdb.com/images/media/team/badge/g1p2l71653308318.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\pau-fc.png
Stade de Reims,Stade de Reims,1.000,https://r2.thesportsdb.com/images/media/team/badge/xcrw1b1592925946.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\stade-de-reims.png
Toulouse FC,Toulouse,1.000,https://r2.thesportsdb.com/images/media/team/badge/17eqox1688449282.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\FRA\toulouse-fc.png
