club,matched_team,score,badge_url,saved_file
ADO Den Haag,ADO Den Haag,1.000,https://r2.thesportsdb.com/images/media/team/badge/vpvtqt1473534732.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\ado-den-haag.png
Ajax,Ajax,1.000,https://r2.thesportsdb.com/images/media/team/badge/zg9tii1755495289.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\ajax.png
Almere City FC,Almere City,1.000,https://r2.thesportsdb.com/images/media/team/badge/qhxtg31579206207.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\almere-city-fc.png
De Graafschap,De Graafschap,1.000,https://r2.thesportsdb.com/images/media/team/badge/36habq1718289995.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\de-graafschap.png
FC Den Bosch,Den Bosch,1.000,https://r2.thesportsdb.com/images/media/team/badge/3ftbir1489836926.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fc-den-bosch.png
FC Dordrecht,Dordrecht,1.000,https://r2.thesportsdb.com/images/media/team/badge/2kfuzk1579463622.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fc-dordrecht.png
FC Eindhoven,FC Eindhoven,1.000,https://r2.thesportsdb.com/images/media/team/badge/fulsp11656015568.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fc-eindhoven.png
FC Emmen,FC Emmen,1.000,https://r2.thesportsdb.com/images/media/team/badge/knwhs41532855745.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fc-emmen.png
FC Twente,Twente,1.000,https://r2.thesportsdb.com/images/media/team/badge/rsrxrt1473534783.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fc-twente.png
FC Utrecht,Utrecht,1.000,https://r2.thesportsdb.com/images/media/team/badge/yuhha71625167104.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fc-utrecht.png
FC Volendam,Volendam,1.000,https://r2.thesportsdb.com/images/media/team/badge/rdouic1625167940.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fc-volendam.png
Feyenoord,Feyenoord,1.000,https://r2.thesportsdb.com/images/media/team/badge/uturtx1473534803.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\feyenoord.png
Fortuna Sittard,Fortuna Sittard,1.000,https://r2.thesportsdb.com/images/media/team/badge/aqr7it1685596947.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\fortuna-sittard.png
Go Ahead Eagles,Go Ahead Eagles,1.000,https://r2.thesportsdb.com/images/media/team/badge/3hq2cy1685597026.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\go-ahead-eagles.png
Helmond Sport,Helmond Sport,1.000,https://r2.thesportsdb.com/images/media/team/badge/vo3i5i1781216719.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\helmond-sport.png
Heracles Almelo,Heracles Almelo,1.000,https://r2.thesportsdb.com/images/media/team/badge/vyyvss1473534851.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\heracles-almelo.png
Jong AZ,Jong AZ,1.000,https://r2.thesportsdb.com/images/media/team/badge/jtfvp31579206794.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\jong-az.png
Jong Ajax,Jong Ajax,1.000,https://r2.thesportsdb.com/images/media/team/badge/vkxft71755495327.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\jong-ajax.png
Jong FC Utrecht,Jong Utrecht,1.000,https://r2.thesportsdb.com/images/media/team/badge/lmhej21625167088.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\jong-fc-utrecht.png
Jong PSV,Jong PSV,1.000,https://r2.thesportsdb.com/images/media/team/badge/awhmfi1579211462.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\jong-psv.png
MVV Maastricht,MVV Maastricht,1.000,https://r2.thesportsdb.com/images/media/team/badge/05guqs1579211725.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\mvv-maastricht.png
N.E.C. Nijmegen,NEC Nijmegen,0.923,https://r2.thesportsdb.com/images/media/team/badge/t5qjle1701019868.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\n-e-c-nijmegen.png
NAC Breda,NAC Breda,1.000,https://r2.thesportsdb.com/images/media/team/badge/ute4en1544965805.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\nac-breda.png
PEC Zwolle,PEC Zwolle,1.000,https://r2.thesportsdb.com/images/media/team/badge/qpvqwy1473534822.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\pec-zwolle.png
RKC Waalwijk,RKC Waalwijk,1.000,https://r2.thesportsdb.com/images/media/team/badge/11v54c1659096848.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\rkc-waalwijk.png
SC Cambuur,Cambuur,1.000,https://r2.thesportsdb.com/images/media/team/badge/b3rap31579463652.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\sc-cambuur.png
Sparta Rotterdam,Sparta Rotterdam,1.000,https://r2.thesportsdb.com/images/media/team/badge/upluv31586362224.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\sparta-rotterdam.png
TOP Oss,TOP Oss,1.000,https://r2.thesportsdb.com/images/media/team/badge/g7g95q1579463666.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\top-oss.png
Telstar,Telstar,1.000,https://r2.thesportsdb.com/images/media/team/badge/xg1ss31579463659.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\telstar.png
Vitesse,Vitesse,1.000,https://r2.thesportsdb.com/images/media/team/badge/wrptxp1473534864.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\vitesse.png
Willem II,Willem II,1.000,https://r2.thesportsdb.com/images/media/team/badge/ushlnc1666107465.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\willem-ii.png
sc Heerenveen,Heerenveen,1.000,https://r2.thesportsdb.com/images/media/team/badge/surtsx1473534841.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\NED\sc-heerenveen.png
