club,matched_team,score,badge_url,saved_file
Académica,Academica SC,1.000,https://r2.thesportsdb.com/images/media/team/badge/59y6rk1744248684.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\academica.png
Académico de Viseu,Académico de Viseu,1.000,https://r2.thesportsdb.com/images/media/team/badge/l9okbc1593020122.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\academico-de-viseu.png
Amarante FC,Amarante,1.000,https://r2.thesportsdb.com/images/media/team/badge/oo1lqi1720941451.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\amarante-fc.png
CD Feirense,Feirense,0.922,https://r2.thesportsdb.com/images/media/team/badge/4b27rw1628851130.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\cd-feirense.png
CD Tondela,Tondela,0.904,https://r2.thesportsdb.com/images/media/team/badge/o7nqff1628856081.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\cd-tondela.png
Casa Pia AC,Casa Pia,1.000,https://r2.thesportsdb.com/images/media/team/badge/d8ugsc1678717133.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\casa-pia-ac.png
Estoril Praia,Estoril Praia,1.000,https://r2.thesportsdb.com/images/media/team/badge/lq9h8m1628854051.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\estoril-praia.png
Estrela da Amadora,Estrela Amadora,0.989,https://r2.thesportsdb.com/images/media/team/badge/2tx5621626095555.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\estrela-da-amadora.png
FC Alverca,Alverca,1.000,https://r2.thesportsdb.com/images/media/team/badge/6ljryf1691990098.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\fc-alverca.png
FC Arouca,Arouca,1.000,https://r2.thesportsdb.com/images/media/team/badge/vgbzjq1628853833.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\POR\fc-arouca.png
