club,best_match,score,reason
FCV Dender EH,Dender,0.632,no_confident_match
Jong KAA Gent,Jong Gent,0.818,no_confident_match
K. Lierse S.K.,Lierse,0.667,no_confident_match
KAA Gent,Gent,0.667,no_confident_match
KAS Eupen,,,no_confident_match
KRC Genk,Genk,0.667,no_confident_match
KSC Lokeren,Lokeren,0.778,no_confident_match
KVC Westerlo,,,no_confident_match
Lommel SK,Lommel,0.800,no_confident_match
OH Leuven,,,no_confident_match
Patro Eisden Maasmechelen,Patro Eisden,0.649,no_confident_match
RFC Seraing,Seraing,0.778,no_confident_match
Royal Antwerp FC,Antwerp,0.700,no_confident_match
Royal Excelsior Virton,Virton,0.429,no_confident_match
Royale Union Saint-Gilloise,,,no_confident_match
STVV,,,no_confident_match
Sporting Charleroi,Zébra Élites,0.067,no_confident_match
Standard de Liège,SL16,0.190,no_confident_match
