club,best_match,score,reason
1. FC Heidenheim 1846,Heidenheim,0.741,no_confident_match
1. FC Köln,Köln,0.800,no_confident_match
1. FSV Mainz 05,Mainz,0.526,no_confident_match
DSC Arminia Bielefeld,,,no_confident_match
FC Schalke 04,,,no_confident_match
FC St. Pauli,Paulista,0.625,no_confident_match
Hamburger SV,,,no_confident_match
Hertha BSC,Hertha,0.750,no_confident_match
SV Darmstadt 98,Darmstadt,0.750,no_confident_match
Sport-Club Freiburg,,,no_confident_match
VfB Stuttgart,Stuttgart,0.818,no_confident_match
VfL Bochum 1848,Bochum II,0.583,no_confident_match
VfL Osnabrück,Osnabrück,0.818,no_confident_match
VfL Wolfsburg,Wolfsburg,0.818,no_confident_match
