club_id,club,country,country_code,best_candidate,score,reason
436,Central Córdoba,Argentina,ARG,central-norte,0.714,no_confident_match
468,Chaco For Ever,Argentina,ARG,chacarita-juniors,0.452,no_confident_match
476,Estudiantes (BA),Argentina,ARG,estudiantes-de-rio-cuarto,0.667,no_confident_match
440,Estudiantes LP,Argentina,ARG,estudiantes-de-rio-cuarto,0.615,no_confident_match
441,Gimnasia LP,Argentina,ARG,gimnasia-y-tiro,0.692,no_confident_match
484,Mitre (SdE),Argentina,ARG,platense,0.471,no_confident_match
453,San Lorenzo,Argentina,ARG,san-telmo,0.600,no_confident_match
455,Talleres,Argentina,ARG,all-boys,0.500,no_confident_match
514,FCV Dender EH,Bélgica,BEL,rsc-anderlecht,0.593,no_confident_match
516,Jong KAA Gent,Bélgica,BEL,jong-genk,0.727,no_confident_match
518,K. Lierse S.K.,Bélgica,BEL,rfc-liege,0.476,no_confident_match
498,KAA Gent,Bélgica,BEL,jong-genk,0.471,no_confident_match
519,KAS Eupen,Bélgica,BEL,sk-beveren,0.526,no_confident_match
507,KRC Genk,Bélgica,BEL,jong-genk,0.588,no_confident_match
520,KSC Lokeren,Bélgica,BEL,sk-beveren,0.571,no_confident_match
512,KVC Westerlo,Bélgica,BEL,k-beerschot-va,0.462,no_confident_match
504,Lommel SK,Bélgica,BEL,jong-genk,0.333,no_confident_match
509,OH Leuven,Bélgica,BEL,sk-beveren,0.526,no_confident_match
521,Patro Eisden Maasmechelen,Bélgica,BEL,kv-mechelen,0.500,no_confident_match
523,RFC Seraing,Bélgica,BEL,rfc-liege,0.600,no_confident_match
500,Royal Antwerp FC,Bélgica,BEL,royal-francs-borains,0.545,no_confident_match
524,Royal Excelsior Virton,Bélgica,BEL,royal-francs-borains,0.571,no_confident_match
495,Royale Union Saint-Gilloise,Bélgica,BEL,royal-francs-borains,0.511,no_confident_match
505,STVV,Bélgica,BEL,k-beerschot-va,0.333,no_confident_match
497,Sporting Charleroi,Bélgica,BEL,sporting-hasselt,0.706,no_confident_match
503,Standard de Liège,Bélgica,BEL,rfc-liege,0.538,no_confident_match
62,ABECAT,Brasil,BRA,abc,0.667,no_confident_match
21,América-MG,Brasil,BRA,marica,0.625,no_confident_match
66,América-RJ,Brasil,BRA,marica,0.625,no_confident_match
67,América-RN,Brasil,BRA,marica,0.625,no_confident_match
22,Athletic,Brasil,BRA,nautico,0.533,no_confident_match
18,Athletico-PR,Brasil,BRA,atletico-de-alagoinhas,0.529,no_confident_match
71,Atlético-CE,Brasil,BRA,atletico-de-alagoinhas,0.606,no_confident_match
23,Atlético-GO,Brasil,BRA,atletico-de-alagoinhas,0.667,no_confident_match
13,Atlético-MG,Brasil,BRA,atletico-de-alagoinhas,0.606,no_confident_match
60,Barra-SC,Brasil,BRA,bahia,0.600,no_confident_match
59,Botafogo-PB,Brasil,BRA,botafogo,0.842,no_confident_match
